item_idx,item_id,title,description,text,language,difficulty,theme,software,job,type,duration,thumbnail_path
1133,411231,Introduction to Statistical Metrics,"Learn how to use statistics in your Word document to stay under word count limits and optimize your work.
In the video ""Using Statistics in Your Document"", you will learn to control statistics in the status bar, update automatically with adding or removing text, and insert word count in your document.
You will also discover how to update statistics before printing.
This feature is essential for school or professional projects in the Microsoft 365 suite. Don't miss this opportunity to improve productivity and meet document requirements.","Introduction to Statistical Metrics
Learn how to use statistics in your Word document to stay under word count limits and optimize your work.
In the video ""Using Statistics in Your Document"", you will learn to control statistics in the status bar, update automatically with adding or removing text, and insert word count in your document.
You will also discover how to update statistics before printing.
This feature is essential for school or professional projects in the Microsoft 365 suite. Don't miss this opportunity to improve productivity and meet document requirements.",en,3 - Advanced,Discover,Excel,,tutorial,481.0,https://i.ibb.co/23Dzh6kL/item-411231.jpg
1134,411232,Know the number of elements in an array,"Discover how to easily know the number of elements in a table within the Microsoft 365 solution. This video will show you simple steps to get this valuable information.
Learn to use appropriate functions and formulas to quickly and efficiently count the elements in your table.
Don't miss out on this opportunity to improve your skills in data manipulation within Microsoft 365.","Know the number of elements in an array
Discover how to easily know the number of elements in a table within the Microsoft 365 solution. This video will show you simple steps to get this valuable information.
Learn to use appropriate functions and formulas to quickly and efficiently count the elements in your table.
Don't miss out on this opportunity to improve your skills in data manipulation within Microsoft 365.",en,"1 - Beginner, 2 - Intermediate",Analyze,Excel,,tutorial,170.0,https://i.ibb.co/XfMwJ4ms/item-411232.jpg
1135,411233,Know the number of numeric values in a column,"Discover how to know the number of numeric values in a column using the video ""Know the number of numeric values in a column"".
This video will teach you to use the function `NB` to count the number of cells containing numbers within a specific range.
You'll also understand the importance of verifying the data type of your column to get accurate results.
Don't miss this opportunity to improve your skills in data analysis within Microsoft 365.","Know the number of numeric values in a column
Discover how to know the number of numeric values in a column using the video ""Know the number of numeric values in a column"".
This video will teach you to use the function `NB` to count the number of cells containing numbers within a specific range.
You'll also understand the importance of verifying the data type of your column to get accurate results.
Don't miss this opportunity to improve your skills in data analysis within Microsoft 365.",en,"1 - Beginner, 2 - Intermediate",Analyze,Excel,,tutorial,112.0,https://i.ibb.co/HLvzfKNR/item-411233.jpg
1136,411234,Retrieve the number of empty values in a series,"Discover how to easily retrieve the number of empty values in a series using the function 'NB.VIDE'.
This function will allow you to quickly count the number of empty cells within a data range, which is crucial for evaluating the quality and integrity of your data.
Learn how to use this function in Microsoft 365 to optimize your professional work.
Don't miss out on this opportunity to improve your skills in data management.","Retrieve the number of empty values in a series
Discover how to easily retrieve the number of empty values in a series using the function 'NB.VIDE'.
This function will allow you to quickly count the number of empty cells within a data range, which is crucial for evaluating the quality and integrity of your data.
Learn how to use this function in Microsoft 365 to optimize your professional work.
Don't miss out on this opportunity to improve your skills in data management.",en,2 - Intermediate,Analyze,Excel,,tutorial,90.0,https://i.ibb.co/v4shZYNm/item-411234.jpg
1137,411235,Discover how to find corresponding elements based on criteria,"Learn how to efficiently search for emails in Outlook Online using the video ""Search Emails"". Discover how to use the search field to find messages or contacts by entering keywords. Also learn how to use filters to refine your searches according to specific criteria like a contact's name, attached files, or a given period. This video is essential for professionals using Microsoft 365 and will help you know the number of elements matching your search criteria. Don't miss this opportunity to optimize your productivity!","Discover how to find corresponding elements based on criteria
Learn how to efficiently search for emails in Outlook Online using the video ""Search Emails"". Discover how to use the search field to find messages or contacts by entering keywords. Also learn how to use filters to refine your searches according to specific criteria like a contact's name, attached files, or a given period. This video is essential for professionals using Microsoft 365 and will help you know the number of elements matching your search criteria. Don't miss this opportunity to optimize your productivity!",en,"2 - Intermediate, 3 - Advanced",Analyze,Excel,,tutorial,152.0,https://i.ibb.co/6fKb61H/item-411235.jpg
1138,411236,Apply Multiple Conditions to the Number of Values,"Discover how to apply multiple conditions on the number of values in the Microsoft 365 solution. In this video, you will learn to use the function NB.SI.ENS to count the number of cells that meet criteria.
You'll see how to select data ranges, add conditions like country origin and music genre, and get precise results.
This technique is essential for professionals who want to filter and analyze complex data in Excel.
Don't miss out on this opportunity to improve your skills in data management with Microsoft 365.","Apply Multiple Conditions to the Number of Values
Discover how to apply multiple conditions on the number of values in the Microsoft 365 solution. In this video, you will learn to use the function NB.SI.ENS to count the number of cells that meet criteria.
You'll see how to select data ranges, add conditions like country origin and music genre, and get precise results.
This technique is essential for professionals who want to filter and analyze complex data in Excel.
Don't miss out on this opportunity to improve your skills in data management with Microsoft 365.",en,3 - Advanced,Produce,Excel,,tutorial,155.0,https://i.ibb.co/q3NT1NLt/item-411236.jpg
1139,411237,Determine Minimums and Maximums,"Discover how to easily determine minimums and maximums in Microsoft Excel using the video training 'Determine Minimums and Maximums'.
This video will teach you techniques for quickly finding the lowest and highest values within data tables.
You'll learn how to use appropriate statistical functions to obtain these results.
Whether you're an Excel beginner or professional user of Microsoft 365, this training will help optimize your data analysis and increase efficiency.
Don't miss out on this opportunity to improve your Excel skills and become an expert in determining minimums and maximums.","Determine Minimums and Maximums
Discover how to easily determine minimums and maximums in Microsoft Excel using the video training 'Determine Minimums and Maximums'.
This video will teach you techniques for quickly finding the lowest and highest values within data tables.
You'll learn how to use appropriate statistical functions to obtain these results.
Whether you're an Excel beginner or professional user of Microsoft 365, this training will help optimize your data analysis and increase efficiency.
Don't miss out on this opportunity to improve your Excel skills and become an expert in determining minimums and maximums.",en,"1 - Beginner, 2 - Intermediate",Produce,Excel,,tutorial,75.0,https://i.ibb.co/gbdf4cm4/item-411237.jpg
1140,411238,Determine Minimums and Maximums Based on Criteria,"Discover how to determine minimums and maximums based on specific criteria in the Microsoft 365 solution. This video will guide you through steps for identifying the lowest and highest values within data sets using personalized criteria.
Learn how this skill can be applied in professional contexts, enabling quick and efficient analysis of relevant data.
Don't miss out on this opportunity to improve your data analysis skills with Microsoft 365.","Determine Minimums and Maximums Based on Criteria
Discover how to determine minimums and maximums based on specific criteria in the Microsoft 365 solution. This video will guide you through steps for identifying the lowest and highest values within data sets using personalized criteria.
Learn how this skill can be applied in professional contexts, enabling quick and efficient analysis of relevant data.
Don't miss out on this opportunity to improve your data analysis skills with Microsoft 365.",en,"2 - Intermediate, 3 - Advanced",Produce,Excel,,tutorial,121.0,https://i.ibb.co/fVRJPy6X/item-411238.jpg
1141,411239,Calculate Mean Based on Criteria,"Discover how to easily calculate a mean based on specific criteria in Microsoft 365. In the video ""Find the Average of a Group of Numbers"", you'll learn to use the 'Automatic Sum' feature in Excel to quickly calculate averages.
You'll see how to select appropriate cells, use the average formula, and ignore blank or text-containing cells.
This skill is essential for professionals using Microsoft 365 and will help you save time in your calculations.
Don't miss this video to master this functionality and optimize your productivity.","Calculate Mean Based on Criteria
Discover how to easily calculate a mean based on specific criteria in Microsoft 365. In the video ""Find the Average of a Group of Numbers"", you'll learn to use the 'Automatic Sum' feature in Excel to quickly calculate averages.
You'll see how to select appropriate cells, use the average formula, and ignore blank or text-containing cells.
This skill is essential for professionals using Microsoft 365 and will help you save time in your calculations.
Don't miss this video to master this functionality and optimize your productivity.",en,"2 - Intermediate, 3 - Advanced",Analyze,Excel,,tutorial,113.0,https://i.ibb.co/GfPqvJbH/item-411239.jpg
1142,411240,Calculate Median,"Discover how to quickly calculate the median of a group of numbers in Excel using the 'Automatic Sum' feature.
In the video 'Find the Average of a Group of Numbers', you'll learn to use this function to get accurate and efficient results.
Simply select the appropriate cell, click on 'Automatic Sum' in the Home tab, then choose 'Average'.
The formula will automatically generate and you can adjust it according to your needs.
This method is ideal for saving time whether you have a few cells or a larger range to process.
Moreover, you'll discover how to calculate the median for non-adjacent cells using a specific formula.
No more manual calculations, use the 'Automatic Sum' function to find the median of your data in Excel.","Calculate Median
Discover how to quickly calculate the median of a group of numbers in Excel using the 'Automatic Sum' feature.
In the video 'Find the Average of a Group of Numbers', you'll learn to use this function to get accurate and efficient results.
Simply select the appropriate cell, click on 'Automatic Sum' in the Home tab, then choose 'Average'.
The formula will automatically generate and you can adjust it according to your needs.
This method is ideal for saving time whether you have a few cells or a larger range to process.
Moreover, you'll discover how to calculate the median for non-adjacent cells using a specific formula.
No more manual calculations, use the 'Automatic Sum' function to find the median of your data in Excel.",en,2 - Intermediate,Analyze,Excel,,tutorial,60.0,https://i.ibb.co/CpgV8BBX/item-411240.jpg
1143,411241,Find the Most Frequent Value in a Series,"Discover how to easily find the most frequent value in a data series using the Microsoft 365 solution. This video will guide you through steps to quickly identify the most common value, which is essential for effective professional use.
Learn to use Microsoft 365 tools to analyze your data and obtain valuable information.
Don't miss this opportunity to improve your skills in data processing with Microsoft 365.","Find the Most Frequent Value in a Series
Discover how to easily find the most frequent value in a data series using the Microsoft 365 solution. This video will guide you through steps to quickly identify the most common value, which is essential for effective professional use.
Learn to use Microsoft 365 tools to analyze your data and obtain valuable information.
Don't miss this opportunity to improve your skills in data processing with Microsoft 365.",en,2 - Intermediate,Analyze,Excel,,tutorial,50.0,https://i.ibb.co/cXQhj7Ng/item-411241.jpg
1144,411242,Calculate Standard Deviation,"Discover how to calculate standard deviation in Microsoft 365 with this professional video.
Learn essential steps for performing accurate calculations and obtaining reliable results.
Enhance your statistical skills and use this powerful feature to precisely analyze data.
Don't miss out on this opportunity to deepen your knowledge of calculating standard deviation in Microsoft 365.","Calculate Standard Deviation
Discover how to calculate standard deviation in Microsoft 365 with this professional video.
Learn essential steps for performing accurate calculations and obtaining reliable results.
Enhance your statistical skills and use this powerful feature to precisely analyze data.
Don't miss out on this opportunity to deepen your knowledge of calculating standard deviation in Microsoft 365.",en,2 - Intermediate,Analyze,Excel,,tutorial,129.0,https://i.ibb.co/vCpbV9GF/item-411242.jpg
1145,411243,Introduction to Power Query,"Discover advanced features of Power Query in the video ""Introduction to Power Query"".
This complementary Excel module allows you to automatically process data by removing duplicates, correcting incorrect values, modifying formats, etc., making it easier to quickly prepare datasets for use in Excel.
With Power Query, you can automate tedious tasks and obtain ready-to-use tables of data faster.
No more wasting time manually performing these operations - discover how Power Query can simplify your life in this video.","Introduction to Power Query
Discover advanced features of Power Query in the video ""Introduction to Power Query"".
This complementary Excel module allows you to automatically process data by removing duplicates, correcting incorrect values, modifying formats, etc., making it easier to quickly prepare datasets for use in Excel.
With Power Query, you can automate tedious tasks and obtain ready-to-use tables of data faster.
No more wasting time manually performing these operations - discover how Power Query can simplify your life in this video.",en,3 - Advanced,Discover,"Excel, Power Query",,tutorial,210.0,https://i.ibb.co/1Dp2jy6/item-411243.jpg
1146,411244,How to Install Power Query,"Discover how to install Power Query in the video ""How to Install Power Query"".
This feature is essential for professionals using Microsoft 365. Learn how to check if Power Query is already installed and activated in your Excel version.
If this isn't the case, you can easily download the module on the Microsoft website.
Once installed, you can activate Power Query within the software's settings.
Don't miss out on this opportunity to improve your skills by leveraging this powerful data processing feature.","How to Install Power Query
Discover how to install Power Query in the video ""How to Install Power Query"".
This feature is essential for professionals using Microsoft 365. Learn how to check if Power Query is already installed and activated in your Excel version.
If this isn't the case, you can easily download the module on the Microsoft website.
Once installed, you can activate Power Query within the software's settings.
Don't miss out on this opportunity to improve your skills by leveraging this powerful data processing feature.",en,3 - Advanced,Discover,"Excel, Power Query",,tutorial,107.0,https://i.ibb.co/661N3zz/item-411244.jpg
1147,411245,Introduction to Import Possibilities in Microsoft 365 for Professional Use,"Discover import possibilities in Microsoft 365 for professional use in the presentation 'General Presentation of Office.com'.
This video introduces you to various import features available, including access to your online apps, SharePoint and OneDrive spaces, and document, site, and contact search.
Learn how to personalize your workspace and modify personal information.
Don't miss this opportunity to maximize productivity with Microsoft 365.","Introduction to Import Possibilities in Microsoft 365 for Professional Use
Discover import possibilities in Microsoft 365 for professional use in the presentation 'General Presentation of Office.com'.
This video introduces you to various import features available, including access to your online apps, SharePoint and OneDrive spaces, and document, site, and contact search.
Learn how to personalize your workspace and modify personal information.
Don't miss this opportunity to maximize productivity with Microsoft 365.",en,3 - Advanced,Discover,"Excel, Power Query",,tutorial,279.0,https://i.ibb.co/9HHD5P4c/item-411245.jpg
1148,411246,Importing an Excel File,"Discover how to easily import data from an Excel file into Power Query using the video ""Importing an Excel File"".
Learn how to select the file, load the data, and visualize the operations performed.
This tutorial is ideal for professionals using Microsoft 365 and offers good SEO for easy search.
Don't miss this opportunity to improve your skills in importing data into Power Query.","Importing an Excel File
Discover how to easily import data from an Excel file into Power Query using the video ""Importing an Excel File"".
Learn how to select the file, load the data, and visualize the operations performed.
This tutorial is ideal for professionals using Microsoft 365 and offers good SEO for easy search.
Don't miss this opportunity to improve your skills in importing data into Power Query.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,176.0,https://i.ibb.co/BHNMG4tf/item-411246.jpg
1149,411247,Importing a Series of Files into a Folder,"Discover how to efficiently import a series of files into a folder using the Microsoft 365 solution. In this video titled 'Importing a Series of Files into a Folder', you will learn to use Power Query to combine multiple CSV files into a single table.
This practical feature allows you to easily merge files with the same naming convention, which is ideal for managing client data or daily reports.
Don't miss out on this opportunity to optimize your professional workflow with Microsoft 365.","Importing a Series of Files into a Folder
Discover how to efficiently import a series of files into a folder using the Microsoft 365 solution. In this video titled 'Importing a Series of Files into a Folder', you will learn to use Power Query to combine multiple CSV files into a single table.
This practical feature allows you to easily merge files with the same naming convention, which is ideal for managing client data or daily reports.
Don't miss out on this opportunity to optimize your professional workflow with Microsoft 365.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,269.0,https://i.ibb.co/R4b0Yy7f/item-411247.jpg
1150,411248,Import Data from an API,"Discover how to easily import data from an API into Excel using Power Query in this video titled 'Importing Data from an API'. In the video 'Importing Data from an API', you will learn to use API URLs to retrieve specific information like department names and postal codes directly within your Excel file. You'll see how to configure Power Query for automatic data import and regular updates.
This skill is essential for professionals using Microsoft 365 and will allow you to quickly access the data you need for your analysis and reports. Don't miss out on this opportunity to improve productivity and save valuable time in your daily work.","Import Data from an API
Discover how to easily import data from an API into Excel using Power Query in this video titled 'Importing Data from an API'. In the video 'Importing Data from an API', you will learn to use API URLs to retrieve specific information like department names and postal codes directly within your Excel file. You'll see how to configure Power Query for automatic data import and regular updates.
This skill is essential for professionals using Microsoft 365 and will allow you to quickly access the data you need for your analysis and reports. Don't miss out on this opportunity to improve productivity and save valuable time in your daily work.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,322.0,https://i.ibb.co/mCy0R8ZG/item-411248.jpg
1151,411249,Power Query Interface Presentation,"Discover how to use the Power Query interface in Microsoft 365 for professional video presentation ""Presentation of the Power Query interface"". Learn to quickly connect and prepare your data, interactively visualize them, and integrate them into your applications and websites. With Power Query, you can make more informed decisions for your company by transforming your data into exploitable information. Download now the free Power Query application and start optimizing your productivity.","Power Query Interface Presentation
Discover how to use the Power Query interface in Microsoft 365 for professional video presentation ""Presentation of the Power Query interface"". Learn to quickly connect and prepare your data, interactively visualize them, and integrate them into your applications and websites. With Power Query, you can make more informed decisions for your company by transforming your data into exploitable information. Download now the free Power Query application and start optimizing your productivity.",en,3 - Advanced,Discover,"Excel, Power Query",,tutorial,271.0,https://i.ibb.co/8Lygv1QB/item-411249.jpg
1152,411250,Change Column Order,"Discover how to reorder columns in Power Query for professional use in Microsoft 365. This tutorial will show you how to organize columns logically by highlighting key columns and grouping them by topic and data type.
Learn to place the unique identifier first, give explicit column names, and arrange columns in an orderly manner.
Follow these recommendations to optimize your data flow and simplify relationships between different tables.
Don't miss this opportunity to improve your data management in Microsoft 365.","Change Column Order
Discover how to reorder columns in Power Query for professional use in Microsoft 365. This tutorial will show you how to organize columns logically by highlighting key columns and grouping them by topic and data type.
Learn to place the unique identifier first, give explicit column names, and arrange columns in an orderly manner.
Follow these recommendations to optimize your data flow and simplify relationships between different tables.
Don't miss this opportunity to improve your data management in Microsoft 365.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,123.0,https://i.ibb.co/d0BNh92t/item-411250.jpg
1153,411251,Remove Columns,"Discover how to efficiently delete unnecessary columns in Microsoft 365. In this video, you will learn to use Power Query to transform your data and identify useless columns.
You will also discover criteria for deciding which columns to delete, such as useless data for your project, duplicates, blank or poor-quality columns.
Follow these steps to optimize your file and make your professional work easier with Microsoft 365.","Remove Columns
Discover how to efficiently delete unnecessary columns in Microsoft 365. In this video, you will learn to use Power Query to transform your data and identify useless columns.
You will also discover criteria for deciding which columns to delete, such as useless data for your project, duplicates, blank or poor-quality columns.
Follow these steps to optimize your file and make your professional work easier with Microsoft 365.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,201.0,https://i.ibb.co/xd4b4qj/item-411251.jpg
1154,411252,Duplicate a Column,"Discover how to easily duplicate a column in Microsoft 365 for professional use.
In the video ""Column Duplication"", you will learn to use the dedicated button to create a copy of the selected column.
This feature will allow you to extract values and more efficiently manipulate your data.
Watch the video to discover how to perform this operation with just a few clicks and optimize your work with Microsoft 365.","Duplicate a Column
Discover how to easily duplicate a column in Microsoft 365 for professional use.
In the video ""Column Duplication"", you will learn to use the dedicated button to create a copy of the selected column.
This feature will allow you to extract values and more efficiently manipulate your data.
Watch the video to discover how to perform this operation with just a few clicks and optimize your work with Microsoft 365.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,118.0,https://i.ibb.co/Q7VzMmj3/item-411252.jpg
1155,411253,Merge Two Columns,"Discover how to efficiently merge two columns in Microsoft 365 for professional use.
In this video titled 'Merging Two Columns', you will learn how to select the columns to be merged, choose a separator like an space or a comma, and modify steps if necessary.
This skill is essential for organizing and analyzing your data effectively.
Watch the video to master this key feature of Microsoft 365 and optimize your productivity.","Merge Two Columns
Discover how to efficiently merge two columns in Microsoft 365 for professional use.
In this video titled 'Merging Two Columns', you will learn how to select the columns to be merged, choose a separator like an space or a comma, and modify steps if necessary.
This skill is essential for organizing and analyzing your data effectively.
Watch the video to master this key feature of Microsoft 365 and optimize your productivity.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,131.0,https://i.ibb.co/PZRx0DdG/item-411253.jpg
1156,411254,Remove Lines,"Discover how to easily remove unwanted lines in your data files with the video ""Remove Lines"".
This resource is specifically designed for professionals using Microsoft 365. Learn to filter columns based on specific criteria, use advanced text filters, and clean up your data files for more reliable analysis.
Don't miss this opportunity to optimize your work with Microsoft 365 and improve productivity.","Remove Lines
Discover how to easily remove unwanted lines in your data files with the video ""Remove Lines"".
This resource is specifically designed for professionals using Microsoft 365. Learn to filter columns based on specific criteria, use advanced text filters, and clean up your data files for more reliable analysis.
Don't miss this opportunity to optimize your work with Microsoft 365 and improve productivity.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,148.0,https://i.ibb.co/Jw2jNS9f/item-411254.jpg
1157,411255,Remove Duplicates,"Discover how to efficiently remove duplicates in your customer files with the Microsoft 365 solution. In this video titled 'Remove Duplicates', you will learn how to detect duplicates by defining relevant columns, such as client code, first name, last name, etc. Using the removal of duplicates function in Excel, you can automatically clean up your files at each import.
Do not let duplicates compromise the analysis and use of your data. Watch the video to discover how to simplify your cleanup process and avoid errors.","Remove Duplicates
Discover how to efficiently remove duplicates in your customer files with the Microsoft 365 solution. In this video titled 'Remove Duplicates', you will learn how to detect duplicates by defining relevant columns, such as client code, first name, last name, etc. Using the removal of duplicates function in Excel, you can automatically clean up your files at each import.
Do not let duplicates compromise the analysis and use of your data. Watch the video to discover how to simplify your cleanup process and avoid errors.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,119.0,https://i.ibb.co/ZCZW8Jd/item-411255.jpg
1158,411256,Cutting a Column in Half,"Discover how to cut a column in half in Microsoft 365 for professional use.
In this video titled 'Cutting a Column in Half', you will learn to split a column using a specific delimiter.
You'll see how to create new columns based on the chosen delimiter and how to delete unwanted values.
This skill will help you efficiently organize and analyze your data in Microsoft 365. Don't miss out on this opportunity to improve your data processing skills.","Cutting a Column in Half
Discover how to cut a column in half in Microsoft 365 for professional use.
In this video titled 'Cutting a Column in Half', you will learn to split a column using a specific delimiter.
You'll see how to create new columns based on the chosen delimiter and how to delete unwanted values.
This skill will help you efficiently organize and analyze your data in Microsoft 365. Don't miss out on this opportunity to improve your data processing skills.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,132.0,https://i.ibb.co/8LctC9sJ/item-411256.jpg
1159,411257,Change Column Format,"Discover how to easily change the format of a column in Microsoft 365. In the video ""Change Column Format"", you will learn how to manually modify the format of a column when Power Query does not automatically detect it.
You'll see how to define various formats such as text, integers or decimals, currencies, percentages, dates, and more.
This tutorial is essential for professionals using Microsoft 365 and will help you optimize your data for better analysis and presentation.
Don't miss this opportunity to improve your skills in manipulating data within Microsoft 365.","Change Column Format
Discover how to easily change the format of a column in Microsoft 365. In the video ""Change Column Format"", you will learn how to manually modify the format of a column when Power Query does not automatically detect it.
You'll see how to define various formats such as text, integers or decimals, currencies, percentages, dates, and more.
This tutorial is essential for professionals using Microsoft 365 and will help you optimize your data for better analysis and presentation.
Don't miss this opportunity to improve your skills in manipulating data within Microsoft 365.",en,3 - Advanced,Organize,"Excel, Power Query",,tutorial,78.0,https://i.ibb.co/Vp2xnKPz/item-411257.jpg
1160,411258,Add Column From Example,"Discover how to easily add a column from examples in Microsoft 365. In this video titled 'Add Column From Example', you will learn how to create a new column using existing data examples.
This practical feature will help you avoid tedious manual processing steps.
You'll see how to specify desired values for the new column by using example data, and how the system automatically understands the appropriate format.
By following these simple steps, you can quickly add a personalized column to your dataset.
Don't miss out on this valuable tip to optimize your use of Microsoft 365.","Add Column From Example
Discover how to easily add a column from examples in Microsoft 365. In this video titled 'Add Column From Example', you will learn how to create a new column using existing data examples.
This practical feature will help you avoid tedious manual processing steps.
You'll see how to specify desired values for the new column by using example data, and how the system automatically understands the appropriate format.
By following these simple steps, you can quickly add a personalized column to your dataset.
Don't miss out on this valuable tip to optimize your use of Microsoft 365.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,131.0,https://i.ibb.co/zVsHTR2f/item-411258.jpg
1161,411259,Add Conditional Column,"Discover how to add a conditional column in Microsoft 365 for professional use.
This feature allows you to add values in a column based on other columns using conditions.
Learn to define rules to differentiate large and small orders, using specific output values.
You will also see how to handle cases where conditions are not met.
By following these steps, you can organize and analyze your data more effectively in Microsoft 365.","Add Conditional Column
Discover how to add a conditional column in Microsoft 365 for professional use.
This feature allows you to add values in a column based on other columns using conditions.
Learn to define rules to differentiate large and small orders, using specific output values.
You will also see how to handle cases where conditions are not met.
By following these steps, you can organize and analyze your data more effectively in Microsoft 365.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,245.0,https://i.ibb.co/GQVCDLTM/item-411259.jpg
1162,411260,Replace Values,"Discover how to efficiently replace values in Microsoft 365 with this video on 'Replace Values'. Whether you're a professional or an occasional user, this feature will help you save time and optimize your daily tasks.
Learn how to select cells to modify, define replacement criteria, and perform mass replacements.
Don't miss out on this opportunity to improve your productivity with Microsoft 365.","Replace Values
Discover how to efficiently replace values in Microsoft 365 with this video on 'Replace Values'. Whether you're a professional or an occasional user, this feature will help you save time and optimize your daily tasks.
Learn how to select cells to modify, define replacement criteria, and perform mass replacements.
Don't miss out on this opportunity to improve your productivity with Microsoft 365.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,61.0,https://i.ibb.co/1tbBdb91/item-411260.jpg
1163,411261,How to Refresh Data After Import,"Discover how to prepare, clean, and transform your data in this video titled 'Prepare, Clean, and Transform Your Data'.
Learn how to import data from an Excel file, fill missing values, change data types of columns, delete useless rows, and create custom new columns.
By following these steps, you will be able to prepare your data for effective analysis in Power BI.
Don't miss out on this opportunity to acquire essential skills for refreshing your data after its import.","How to Refresh Data After Import
Discover how to prepare, clean, and transform your data in this video titled 'Prepare, Clean, and Transform Your Data'.
Learn how to import data from an Excel file, fill missing values, change data types of columns, delete useless rows, and create custom new columns.
By following these steps, you will be able to prepare your data for effective analysis in Power BI.
Don't miss out on this opportunity to acquire essential skills for refreshing your data after its import.",en,3 - Advanced,Produce,"Excel, Power Query",,tutorial,116.0,https://i.ibb.co/C54PmSYF/item-411261.jpg
1164,411262,Power Pivot Presentation and Installation,"Discover in the video ""Presentation and Installation of Power Pivot"" how to use this module to easily create relationships between your tables in Excel.
Learn to activate and install Power Pivot, check its availability in the menu, and start creating relationships between your different tables.
This tutorial is essential for professionals using Microsoft 365. Follow step-by-step instructions for optimal use of Power Pivot in data analysis.","Power Pivot Presentation and Installation
Discover in the video ""Presentation and Installation of Power Pivot"" how to use this module to easily create relationships between your tables in Excel.
Learn to activate and install Power Pivot, check its availability in the menu, and start creating relationships between your different tables.
This tutorial is essential for professionals using Microsoft 365. Follow step-by-step instructions for optimal use of Power Pivot in data analysis.",en,3 - Advanced,Discover,Excel,,tutorial,98.0,https://i.ibb.co/qYfMszz2/item-411262.jpg
1165,411263,Importing a Table into the Data Model,"Discover how to easily import a table into your data model with the video ""Importing a Table into the Data Model"".
This video is essential for professionals using the Microsoft 365 solution. You will learn how to import your data into Power Pivot using Power Query, create relationships between tables, and create measures for in-depth analysis.
Don't miss this opportunity to optimize your use of Microsoft 365 and get the most out of your data.","Importing a Table into the Data Model
Discover how to easily import a table into your data model with the video ""Importing a Table into the Data Model"".
This video is essential for professionals using the Microsoft 365 solution. You will learn how to import your data into Power Pivot using Power Query, create relationships between tables, and create measures for in-depth analysis.
Don't miss this opportunity to optimize your use of Microsoft 365 and get the most out of your data.",en,3 - Advanced,Produce,Excel,,tutorial,81.0,https://i.ibb.co/KpzY3StS/item-411263.jpg
1166,411264,Create Relationships Between Tables,"Discover how to create relationships between tables in Microsoft 365 for professional use.
In this video, you will learn how to link columns of client and sales tables to facilitate data search and analysis.
You'll see how to automatically create relationships between tables using Power Pivot, along with manual methods for creating relationships by dragging columns.
By understanding how to create and manage table relationships, you will be able to fully leverage Microsoft 365's features for more effective data analysis.","Create Relationships Between Tables
Discover how to create relationships between tables in Microsoft 365 for professional use.
In this video, you will learn how to link columns of client and sales tables to facilitate data search and analysis.
You'll see how to automatically create relationships between tables using Power Pivot, along with manual methods for creating relationships by dragging columns.
By understanding how to create and manage table relationships, you will be able to fully leverage Microsoft 365's features for more effective data analysis.",en,3 - Advanced,Produce,Excel,,tutorial,483.0,https://i.ibb.co/XxKgnncR/item-411264.jpg
1167,411265,Power Pivot in Dynamic Cross Table,"Discover how to use Power Pivot within a dynamic cross table for professional use in Microsoft 365. This video shows you how to create a dynamic cross table from scratch using your workbook's data model.
You will also learn to create relationships between tables, which allows you to perform calculations and obtain personalized measures.
Don't miss this opportunity to improve your data analysis skills with Power Pivot.","Power Pivot in Dynamic Cross Table
Discover how to use Power Pivot within a dynamic cross table for professional use in Microsoft 365. This video shows you how to create a dynamic cross table from scratch using your workbook's data model.
You will also learn to create relationships between tables, which allows you to perform calculations and obtain personalized measures.
Don't miss this opportunity to improve your data analysis skills with Power Pivot.",en,3 - Advanced,Produce,Excel,,tutorial,167.0,https://i.ibb.co/KxNSq4G5/item-411265.jpg
1168,411266,Create Measures in Power Pivot,"Learn how to create measures in Power Pivot for advanced calculations in dynamic pivot tables.
In this video titled 'Create Measures', you will learn to use DAX to create similar calculation functions like those found in Excel.
You'll see how to count customers, calculate sales totals, and find the average duration of customer relationships.
You'll also discover how to filter your data to get specific results.
This video is essential for professionals using Microsoft 365 who want to deepen their skills in data analysis.","Create Measures in Power Pivot
Learn how to create measures in Power Pivot for advanced calculations in dynamic pivot tables.
In this video titled 'Create Measures', you will learn to use DAX to create similar calculation functions like those found in Excel.
You'll see how to count customers, calculate sales totals, and find the average duration of customer relationships.
You'll also discover how to filter your data to get specific results.
This video is essential for professionals using Microsoft 365 who want to deepen their skills in data analysis.",en,3 - Advanced,Produce,Excel,,tutorial,550.0,https://i.ibb.co/qMND1bX6/item-411266.jpg
